date,start_city,end_city,distance_km,cargo_weight_kg,vehicle_type,weather_condition,traffic_density,fuel_type,fuel_consumption_liters,carbon_emissions_kg,delivery_time_hours,cost_inr
2023-03-13,Delhi,Mumbai,1191.92,3793.97,Container,Cloudy,Low,Petrol,539.48,1228.97,17.16,17078.3
2023-02-17,Jaipur,Delhi,191.11,1201.98,Container,Foggy,Low,Diesel,76.94,212.77,3.92,2805.97
2023-08-18,Mumbai,Lucknow,1322.38,592.63,Truck,Stormy,Medium,Petrol,465.36,1157.48,20.8,18367.99
2023-03-21,Mumbai,Chennai,1027.36,1325.32,Container,Foggy,Medium,CNG,480.86,883.88,21.13,14372.22
2023-11-06,Delhi,Bangalore,1759.26,2443.75,Van,Clear,Medium,CNG,314.69,493.7,34.78,15831.04
2024-02-29,Ahmedabad,Lucknow,1062.76,1127.72,Truck,Foggy,Low,CNG,302.22,496.96,16.31,15653.05
2024-01-31,Hyderabad,Chennai,471.58,2552.31,Container,Clear,Low,Petrol,184.98,366.96,9.14,5312.22
2023-03-25,Chennai,Delhi,1737.8,2814.05,Van,Cloudy,Medium,CNG,336.11,691.03,31.71,17858.03
2023-03-25,Kolkata,Delhi,1396.07,3233.95,Container,Rainy,High,Petrol,900.68,2103.65,23.87,15423.59
2024-02-25,Jaipur,Chennai,1583.74,939.52,Container,Cloudy,Low,Petrol,568.49,1437.62,38.36,16636.81
2023-04-19,Kolkata,Delhi,1393.2,1049.17,Truck,Stormy,High,CNG,578.12,1329.3,21.04,15528.58
2024-01-18,Ahmedabad,Bangalore,1220.54,4591.94,Van,Rainy,Low,CNG,267.15,517.99,19.26,19731.1
2023-02-16,Pune,Hyderabad,570.28,1902.7,Truck,Rainy,High,Electric,235.31,103.29,8.12,8951.14
2023-07-17,Bangalore,Chennai,436.22,1331.85,Container,Foggy,High,Diesel,230.94,692.79,7.89,7197.36
2023-12-16,Jaipur,Kolkata,1513.7,898.22,Container,Clear,High,Diesel,670.18,1826.85,20.08,20514.96
2023-01-02,Hyderabad,Delhi,1215.33,1721.07,Van,Foggy,Low,Electric,204.77,86.17,15.55,18034.27
2024-03-06,Kolkata,Lucknow,927.24,1764.21,Truck,Stormy,Low,CNG,315.13,675.97,14.14,12252.6
2023-11-03,Bangalore,Pune,686.1,4109.89,Truck,Stormy,High,Diesel,363.57,987.46,12.95,7637.31
2023-02-13,Hyderabad,Kolkata,1204.54,524.85,Truck,Clear,Low,Diesel,281.72,801.2,17.39,16779.26
2023-05-16,Jaipur,Bangalore,1589.48,3780.53,Truck,Foggy,High,Petrol,727.7,1830.21,26.01,21355.34
2023-07-24,Chennai,Lucknow,1487.68,4383.97,Container,Rainy,High,CNG,1043.19,1961.21,18.64,20861.12
2023-02-02,Ahmedabad,Lucknow,946.53,786.01,Van,Clear,Low,Petrol,127.62,327.21,17.68,11863.17
2023-04-28,Chennai,Kolkata,1329.11,3783.23,Truck,Clear,High,Diesel,529.23,1248.67,31.13,12816.73
2023-04-20,Hyderabad,Delhi,1307.52,2624.97,Container,Rainy,Medium,Electric,711.88,366.5,21.24,18393.22
2023-02-18,Lucknow,Ahmedabad,1040.02,3923.53,Truck,Foggy,Medium,Petrol,425.57,919.65,23.7,13420.0
2023-02-01,Pune,Ahmedabad,594.47,2722.08,Van,Clear,High,Diesel,122.9,340.5,10.6,7528.75
2023-03-13,Delhi,Kolkata,1292.3,614.39,Truck,Rainy,High,Electric,475.52,257.3,22.72,13165.35
2023-11-30,Chennai,Delhi,1698.34,2788.57,Van,Stormy,Low,Diesel,352.94,1044.48,21.24,24920.02
2023-04-20,Delhi,Kolkata,1412.3,2346.72,Truck,Foggy,Medium,Electric,512.46,265.38,18.94,21393.47
2023-05-27,Bangalore,Ahmedabad,1207.76,846.41,Truck,Foggy,Medium,Electric,384.99,206.81,21.22,18178.75
2024-05-10,Jaipur,Ahmedabad,519.8,4683.64,Truck,Rainy,Medium,Petrol,234.07,513.57,12.28,9177.33
2023-09-15,Mumbai,Pune,150.02,4421.57,Truck,Clear,High,Electric,62.5,34.87,1.95,3968.72
2023-12-12,Mumbai,Lucknow,1216.93,4516.52,Truck,Rainy,Low,Diesel,471.08,1327.3,16.34,15433.29
2023-08-03,Lucknow,Chennai,1598.24,4532.41,Container,Stormy,Low,Diesel,943.57,2573.15,24.11,21375.65
2023-07-22,Hyderabad,Kolkata,1203.28,1525.71,Truck,Cloudy,Low,CNG,323.6,607.22,26.6,15826.16
2023-02-07,Ahmedabad,Hyderabad,970.71,4373.29,Truck,Clear,Medium,Diesel,356.56,927.68,15.78,13389.85
2023-03-22,Bangalore,Pune,742.89,2378.35,Truck,Rainy,Medium,CNG,282.0,534.25,12.91,9957.12
2024-04-25,Kolkata,Lucknow,930.49,2019.27,Truck,Stormy,Medium,Diesel,371.55,966.97,12.39,10176.15
2024-01-03,Delhi,Lucknow,465.79,2834.56,Truck,Cloudy,Medium,Petrol,160.42,385.53,8.67,7385.2
2023-11-21,Kolkata,Lucknow,903.11,4873.02,Van,Cloudy,Low,Diesel,176.3,538.81,15.86,11410.55
2023-10-10,Mumbai,Pune,100.0,1781.78,Truck,Cloudy,Low,Electric,27.49,13.71,1.47,2083.53
2024-03-03,Delhi,Bangalore,1752.28,2762.06,Container,Rainy,High,Diesel,1090.18,2795.29,31.99,22176.51
2024-04-05,Pune,Bangalore,733.01,1152.03,Truck,Cloudy,Medium,Diesel,219.35,605.59,13.5,9939.87
2024-04-18,Delhi,Pune,1203.41,1589.25,Container,Foggy,High,Petrol,651.57,1504.01,15.59,17705.22
2024-02-05,Bangalore,Ahmedabad,1304.36,1569.37,Truck,Rainy,High,CNG,523.14,1091.21,16.89,18544.44
2024-03-15,Chennai,Hyderabad,476.89,3345.38,Truck,Clear,Medium,Diesel,162.64,496.21,8.11,6154.05
2023-12-04,Ahmedabad,Hyderabad,936.37,906.3,Van,Rainy,Low,Diesel,153.19,500.46,19.62,10095.74
2024-04-25,Delhi,Hyderabad,1241.11,1339.33,Van,Stormy,Medium,CNG,263.0,557.31,30.19,18218.03
2023-11-02,Kolkata,Bangalore,1606.45,3549.04,Container,Cloudy,Low,Diesel,714.19,1817.67,28.0,22818.74
2024-04-05,Hyderabad,Ahmedabad,907.49,1519.23,Container,Stormy,Low,Electric,424.67,204.58,14.39,9637.6
2023-07-06,Pune,Mumbai,100.0,3609.22,Container,Stormy,High,Petrol,71.87,173.89,1.75,3268.82
2023-09-17,Hyderabad,Pune,560.18,1118.84,Container,Clear,High,CNG,253.04,482.99,10.7,6642.33
2023-12-07,Pune,Kolkata,1632.78,4661.12,Container,Rainy,Low,Electric,897.69,434.39,21.04,23134.13
2023-05-27,Bangalore,Hyderabad,481.96,3469.93,Van,Stormy,Low,CNG,105.49,216.04,9.96,8241.55
2023-09-19,Lucknow,Hyderabad,1096.52,2883.43,Van,Foggy,Medium,Petrol,233.54,609.99,18.61,17131.08
2023-02-17,Bangalore,Delhi,1730.94,4537.47,Van,Stormy,High,CNG,531.58,1010.03,23.8,25217.44
2023-05-06,Kolkata,Chennai,1397.42,2025.63,Truck,Rainy,Low,Diesel,448.13,1294.88,17.61,18171.61
2023-09-11,Delhi,Jaipur,311.68,4537.0,Van,Stormy,Low,Electric,73.63,33.62,5.57,5083.89
2023-01-26,Mumbai,Bangalore,868.83,3389.14,Van,Rainy,Low,Electric,174.49,90.27,13.95,14225.08
2024-05-01,Delhi,Jaipur,258.02,541.39,Truck,Foggy,High,CNG,90.36,190.16,3.68,3134.23
2023-08-19,Jaipur,Pune,970.5,522.78,Container,Foggy,Low,Electric,367.01,170.39,19.27,9704.99
2023-02-09,Kolkata,Lucknow,959.01,3613.53,Van,Rainy,Medium,Electric,225.21,98.9,13.99,11053.01
2023-04-29,Hyderabad,Pune,469.59,3704.81,Container,Clear,Low,Petrol,201.11,495.08,8.49,6111.43
2023-08-01,Chennai,Delhi,1731.72,3859.21,Van,Foggy,Medium,Electric,396.75,175.95,40.76,25879.68
2024-04-27,Pune,Mumbai,173.12,3459.26,Container,Foggy,Medium,Diesel,96.3,268.73,3.2,4027.66
2023-09-07,Pune,Lucknow,1170.47,2154.72,Container,Stormy,High,Petrol,751.35,1760.94,24.0,14012.1
2024-03-06,Mumbai,Ahmedabad,394.9,4878.55,Van,Foggy,High,Petrol,109.8,232.95,6.73,5951.3
2023-02-12,Lucknow,Jaipur,616.62,3340.12,Truck,Foggy,High,Diesel,273.28,714.84,9.38,7188.73
2023-04-19,Ahmedabad,Bangalore,1247.87,3096.07,Truck,Cloudy,Medium,CNG,438.52,974.38,21.45,14479.12
2023-01-10,Pune,Kolkata,1601.62,3751.03,Van,Cloudy,Low,Electric,289.06,144.03,22.89,15272.41
2024-01-22,Hyderabad,Chennai,463.44,4732.06,Container,Clear,High,Diesel,277.36,779.2,11.24,6875.75
2023-10-16,Mumbai,Chennai,1050.2,4849.95,Truck,Rainy,Medium,Diesel,478.26,1376.62,13.48,14245.19
2024-02-03,Kolkata,Pune,1629.6,4330.12,Truck,Stormy,High,Diesel,877.01,1994.34,22.39,26206.6
2023-07-23,Delhi,Mumbai,1120.78,3005.61,Van,Stormy,High,Electric,307.93,146.07,14.43,12025.02
2024-02-12,Lucknow,Chennai,1538.3,3065.28,Truck,Cloudy,High,Diesel,609.65,1696.82,19.39,22266.56
2023-01-07,Hyderabad,Lucknow,1096.7,4955.24,Van,Cloudy,Low,CNG,215.27,383.84,14.82,17564.16
2023-08-11,Delhi,Ahmedabad,809.56,4448.18,Van,Foggy,High,Petrol,218.58,447.21,17.21,11657.31
2023-06-15,Kolkata,Lucknow,993.89,3661.18,Van,Foggy,Medium,CNG,224.46,481.87,13.42,15561.3
2023-06-22,Delhi,Hyderabad,1196.9,4142.13,Van,Rainy,Medium,Electric,291.98,132.3,29.09,18775.75
2023-05-24,Bangalore,Jaipur,1575.6,4609.58,Truck,Cloudy,Medium,CNG,617.67,1229.11,20.95,22643.1
2023-05-04,Kolkata,Lucknow,976.02,4092.33,Truck,Stormy,Low,Diesel,397.35,1475.17,14.19,13192.36
2023-02-17,Chennai,Jaipur,1680.29,4081.07,Container,Foggy,Medium,Diesel,977.84,2879.57,32.46,20239.46
2023-10-11,Chennai,Hyderabad,501.22,2190.12,Container,Stormy,Medium,Electric,285.45,153.56,8.18,6597.73
2023-05-09,Jaipur,Hyderabad,1107.42,661.74,Van,Foggy,Medium,CNG,195.19,346.25,22.5,14781.59
2023-04-09,Hyderabad,Delhi,1381.51,1789.44,Container,Stormy,High,Petrol,860.17,1615.97,28.39,16629.31
2023-06-01,Lucknow,Jaipur,551.96,668.07,Container,Cloudy,Low,Petrol,193.21,449.9,11.24,5443.0
2023-10-11,Mumbai,Lucknow,1219.82,1071.77,Truck,Cloudy,Low,Diesel,315.13,936.52,23.6,18355.84
2023-09-03,Ahmedabad,Delhi,884.67,1471.19,Truck,Stormy,Medium,Electric,337.15,170.74,15.35,8954.69
2023-09-09,Mumbai,Hyderabad,613.76,732.57,Van,Clear,Low,Electric,82.34,42.06,14.29,7980.66
2023-05-08,Mumbai,Chennai,1175.86,3368.43,Truck,Stormy,Medium,Diesel,522.23,1657.58,26.28,17383.18
2023-06-02,Lucknow,Chennai,1428.39,4078.34,Container,Foggy,Medium,Electric,831.08,423.29,19.2,23365.28
2023-05-16,Kolkata,Mumbai,1740.02,853.05,Container,Clear,Low,Petrol,590.14,1135.68,26.2,16259.62
2023-08-19,Bangalore,Lucknow,1609.68,2340.29,Truck,Rainy,Low,Electric,529.7,287.78,23.82,19342.46
2023-02-06,Mumbai,Kolkata,1745.53,1626.09,Van,Cloudy,High,Electric,346.26,167.63,25.86,26066.26
2023-11-28,Lucknow,Chennai,1617.92,3470.89,Van,Clear,High,Petrol,354.16,851.25,35.2,17687.16
2023-08-13,Bangalore,Delhi,1766.03,3252.74,Truck,Rainy,Medium,CNG,717.74,1622.36,39.27,24268.15
2023-02-11,Pune,Kolkata,1595.97,2101.88,Container,Stormy,Medium,Electric,902.34,429.32,24.97,23755.14
2024-01-27,Hyderabad,Kolkata,1226.52,940.25,Truck,Clear,Low,Diesel,298.19,948.74,18.34,12596.17
2024-04-14,Mumbai,Chennai,894.34,1279.41,Van,Stormy,High,Electric,213.1,95.64,17.49,14035.68
2023-06-20,Pune,Jaipur,856.1,3271.33,Truck,Foggy,Medium,Electric,333.9,145.24,16.2,9111.26
